intent,snippet
how to turn a string of letters embedded in squared brackets into embedded lists,"[i.split() for i in re.findall('\\[([^\\[\\]]+)\\]', a)]"
extract item from list of dictionaries,[d for d in a if d['name'] == 'pluto']
extract item from list of dictionaries,[d for d in a if d['name'] == 'pluto']
Python: simplest way to get list of values from dict?,list(d.values())
String manipulation in Cython,"re.sub(' +', ' ', s)"
Set execute bit for a file using python,"os.chmod('my_script.sh', 484)"
Pandas to_csv call is prepending a comma,"df.to_csv('c:\\data\\t.csv', index=False)"
Python regex to remove all words which contains number,"re.sub('\\w*\\d\\w*', '', words).strip()"
How can I control the keyboard and mouse with Python?,"dogtail.rawinput.click(100, 100)"
How to parse dates with -0400 timezone string in python?,"datetime.strptime('2009/05/13 19:19:30 -0400', '%Y/%m/%d %H:%M:%S %z')"
Python - Locating the position of a regex match in a string?,"re.search('\\bis\\b', String).start()"
Python - Locating the position of a regex match in a string?,"re.search('is', String).start()"
How to input an integer tuple from user?,"tuple(map(int, input().split(',')))"
How to input an integer tuple from user?,"tuple(int(x.strip()) for x in input().split(','))"
How to replace unicode characters in string with something else python?,"str.decode('utf-8').replace('\u2022', '*').encode('utf-8')"
How to replace unicode characters in string with something else python?,"str.decode('utf-8').replace('\u2022', '*')"
How to convert ndarray to array?,"np.zeros((3, 3)).ravel()"
What OS am I running on,"import platform
platform.system()"
What OS am I running on,"import platform
platform.release()"
What OS am I running on,print(os.name)
What is the most pythonic way to exclude elements of a list that start with a specific character?,[x for x in my_list if not x.startswith('#')]
"Python string formatting when string contains ""%s"" without escaping","""""""Day old bread, 50% sale {0}"""""".format('today')"
"List of Tuples (string, float)with NaN How to get the min value?","min(list, key=lambda x: float('inf') if math.isnan(x[1]) else x[1])"
Python: Finding average of a nested list,a = [(sum(x) / len(x)) for x in zip(*a)]
How do I add custom field to Python log format string?,"logging.info('Log message', extra={'app_name': 'myapp'})"
finding non-numeric rows in dataframe in pandas?,"df.applymap(lambda x: isinstance(x, (int, float)))"
Sort list of mixed strings based on digits,"sorted(l, key=lambda x: int(re.search('\\d+', x).group(0)))"
Function to close the window in Tkinter,self.root.destroy()
Calcuate mean for selected rows for selected columns in pandas data frame,"df.iloc[:, ([2, 5, 6, 7, 8])].mean(axis=1)"
How to filter by sub-level index in Pandas,df[df.index.map(lambda x: x[1].endswith('0630'))]
Deleting row with Flask-SQLAlchemy,db.session.delete(page)
How do I convert a unicode to a string at the Python level?,""""""""""""".join(chr(ord(c)) for c in 'Andr\xc3\xa9')"
How do I convert a unicode to a string at the Python level?,""""""""""""".join(chr(ord(c)) for c in 'Andr\xc3\xa9').decode('utf8')"
Directory listing,"for (dirname, dirnames, filenames) in os.walk('.'):
    for subdirname in dirnames:
        print(os.path.join(dirname, subdirname))
    for filename in filenames:
        pass"
Directory listing,os.listdir(path)
How to rename all folders?,"os.rename(dir, dir + '!')"
Pythonic way to insert every 2 elements in a string,"""""""-"""""".join(a + b for a, b in zip(s[::2], s[1::2]))"
Printing numbers in python,print('%.3f' % 3.1415)
Add element to a json in python,data[0]['f'] = var
Retrieving python module path,print(a_module.__file__)
Retrieving python module path,print(os.getcwd())
Retrieving python module path,path = os.path.abspath(amodule.__file__)
Padding a list in python with particular value,self.myList.extend([0] * (4 - len(self.myList)))
Fastest Way to Drop Duplicated Index in a Pandas DataFrame,df[~df.index.duplicated()]
Is there a more pythonic way of exploding a list over a function's arguments?,foo(*i)
Generate list of numbers in specific format,[('%.2d' % i) for i in range(16)]
Summarizing a dictionary of arrays in Python,"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]"
Summarizing a dictionary of arrays in Python,"heapq.nlargest(3, iter(mydict.items()), key=lambda tup: sum(tup[1]))"
get index of character in python list,"['a', 'b'].index('b')"
How to set font size of Matplotlib axis Legend?,"plt.setp(legend.get_title(), fontsize='xx-small')"
Python: Convert a string to an integer,int('  23  ')
How to extract the n-th elements from a list of tuples in python?,[x[1] for x in elements]
getting the opposite diagonal of a numpy array,np.diag(np.rot90(array))
Convert list of tuples to list?,list(chain.from_iterable(a))
Removing white space from txt with python,"re.sub('\\s{2,}', '|', line.strip())"
Limiting floats to two decimal points,print(('%.2f' % a))
Limiting floats to two decimal points,print(('{0:.2f}'.format(a)))
Limiting floats to two decimal points,"print(('{0:.2f}'.format(round(a, 2))))"
Limiting floats to two decimal points,"print(('%.2f' % round(a, 2)))"
Limiting floats to two decimal points,('%.2f' % 13.9499999)
Limiting floats to two decimal points,('%.2f' % 3.14159)
Limiting floats to two decimal points,float('{0:.2f}'.format(13.95))
Limiting floats to two decimal points,'{0:.2f}'.format(13.95)
How to I load a tsv file into a Pandas DataFrame?,"DataFrame.from_csv('c:/~/trainSetRel3.txt', sep='\t')"
How to set UTC offset for datetime?,dateutil.parser.parse('2013/09/11 00:17 +0900')
Passing list of parameters to SQL in psycopg2,"cur.mogrify('SELECT * FROM table WHERE column IN %s;', ((1, 2, 3),))"
How would I sum a multi-dimensional array in the most succinct python?,"sum([sum(x) for x in [[1, 2, 3, 4], [2, 4, 5, 6]]])"
Access an arbitrary element in a dictionary in Python,next(iter(dict.values()))
Access an arbitrary element in a dictionary in Python,next(iter(list(dict.values())))
Pandas: aggregate based on filter on another column,"df.groupby(['Month', 'Fruit']).sum().unstack(level=0)"
sorting list of tuples by arbitrary key,"sorted(mylist, key=lambda x: order.index(x[1]))"
Python - Sort a list of dics by value of dict`s dict value,"sorted(persons, key=lambda x: x['passport']['birth_info']['date'])"
How can I remove the fragment identifier from a URL?,urlparse.urldefrag('http://www.address.com/something#something')
How to download to a specific directory with Python?,"urllib.request.urlretrieve('http://example.com/file.ext', '/path/to/dir/filename.ext')"
removing duplicates of a list of sets,list(set(frozenset(item) for item in L))
removing duplicates of a list of sets,[set(item) for item in set(frozenset(item) for item in L)]
How to terminate process from Python using pid?,p.terminate()
Delete all objects in a list,del mylist[:]
How to throw an error window in Python in Windows,"ctypes.windll.user32.MessageBoxW(0, 'Error', 'Error', 0)"
Remove empty strings from a list of strings,str_list = list([_f for _f in str_list if _f])
How to remove whitespace in BeautifulSoup,"re.sub('[\\ \\n]{2,}', '', yourstring)"
Dot notation string manipulation,"re.sub('\\.[^.]+$', '', s)"
Removing elements from an array that are in another array,"A[np.all(np.any(A - B[:, (None)], axis=2), axis=0)]"
write to csv from DataFrame python pandas,"a.to_csv('test.csv', cols=['sum'])"
call a Python script from another Python script,"exec(compile(open('test2.py').read(), 'test2.py', 'exec'))"
call a Python script from another Python script,"subprocess.call('test1.py', shell=True)"
How do I sort a zipped list in Python?,"sorted(zipped, key=lambda x: x[1])"
How do I sort a zipped list in Python?,zipped.sort(key=lambda t: t[1])
Sorting a dictionary by value then by key,"sorted(list(y.items()), key=lambda x: (x[1], x[0]), reverse=True)"
Using BeautifulSoup to select div blocks within HTML,"soup.find_all('div', class_='crBlock ')"
Remove list of indices from a list in Python,"[element for i, element in enumerate(centroids) if i not in index]"
Comparing two lists in Python,list(set(listA) & set(listB))
http file downloading and saving,"testfile = urllib.request.URLopener()
testfile.retrieve('http://randomsite.com/file.gz', 'file.gz')"
http file downloading and saving,"urllib.request.urlretrieve('http://randomsite.com/file.gz', 'file.gz')"
http file downloading and saving,file_name = wget.download(file_url)
Accented characters in Matplotlib,"ax.set_yticklabels(['\xe9', '\xe3', '\xe2'])"
How to get a list of all integer points in an n-dimensional cube using python?,"list(itertools.product(list(range(-x, y)), repeat=dim))"
How can I convert a unicode string into string literals in Python 2.7?,print(s.encode('unicode_escape'))
python - How to format variable number of arguments into a string?,"'Hello %s' % ', '.join(my_args)"
Python regex search AND split,"re.split('(ddd)', 'aaa bbb ccc ddd eee fff', 1)"
Python regex search AND split,"re.split('(d(d)d)', 'aaa bbb ccc ddd eee fff', 1)"
Convert list of dictionaries to Dataframe,pd.DataFrame(d)
How to split string into words that do not contain whitespaces in python?,"""""""This is a string"""""".split()"
How to split string into words that do not contain whitespaces in python?,"""""""This     is a     string"""""".split()"
python pandas: apply a function with arguments to a series,"my_series.apply(your_function, args=(2, 3, 4), extra_kw=1)"
Python: How to remove all duplicate items from a list,woduplicates = list(set(lseperatedOrblist))
Sum of product of combinations in a list,"sum([(i * j) for i, j in list(itertools.combinations(l, 2))])"
Using variables in Python regular expression,re.compile('{}-\\d*'.format(user))
"In Python, how do I convert all of the items in a list to floats?",[float(i) for i in lst]
How can I multiply all items in a list together with Python?,"from functools import reduce
reduce(lambda x, y: x * y, [1, 2, 3, 4, 5, 6])"
How to write a tuple of tuples to a CSV file using Python,writer.writerow(A)
How to write a tuple of tuples to a CSV file using Python,writer.writerows(A)
"python, format string","""""""{} %s {}"""""".format('foo', 'bar')"
Replace a string in list of lists,"example = [x.replace('\r\n', '') for x in example]"
Python: split elements of a list,[i.partition('\t')[-1] for i in l if '\t' in i]
Splitting a string by using two substrings in Python,"re.search('Test(.*)print', testStr, re.DOTALL)"
"python, locating and clicking a specific button with selenium",next = driver.find_element_by_css_selector('li.next>a')
Getting file size in Python?,os.stat('C:\\Python27\\Lib\\genericpath.py').st_size
how do i return a string from a regex match in python,"imtag = re.match('<img.*?>', line).group(0)"
How to change folder names in python?,"os.rename('Joe Blow', 'Blow, Joe')"
How to find overlapping matches with a regexp?,"re.findall('(?=(\\w\\w))', 'hello')"
express binary literals,bin(173)
express binary literals,"int('01010101111', 2)"
express binary literals,"int('010101', 2)"
express binary literals,"int('0b0010101010', 2)"
express binary literals,bin(21)
express binary literals,"int('11111111', 2)"
Delete digits in Python (Regex),"re.sub('$\\d+\\W+|\\b\\d+\\b|\\W+\\d+$', '', s)"
Delete digits in Python (Regex),"re.sub('\\b\\d+\\b', '', s)"
Delete digits in Python (Regex),"s = re.sub('^\\d+\\s|\\s\\d+\\s|\\s\\d+$', ' ', s)"
Python Split String,"s.split(':', 1)[1]"
How can I split this comma-delimited string in Python?,"print(s.split(','))"
How can I split this comma-delimited string in Python?,"mystring.split(',')"
How to remove parentheses only around single words in a string,"re.sub('\\((\\w+)\\)', '\\1', s)"
how to open a url in python,webbrowser.open_new(url)
how to open a url in python,webbrowser.open('http://example.com')
PyQt QPushButton Background color,self.pushButton.setStyleSheet('background-color: red')
Zip and apply a list of functions over a list of values in Python,"[x(y) for x, y in zip(functions, values)]"
How do I modify the width of a TextCtrl in wxPython?,"wx.TextCtrl(self, -1, size=(300, -1))"
Displaying a grayscale Image,"imshow(imageArray, cmap='Greys_r')"
